,nfnet_l0,regnety_032,twins_pcpvt_base,xcit_medium_24_p16_224,eca_nfnet_l0,pit_b_224,coat_lite_small,convit_base,crossvit_base_240,visformer_small,convnext_tiny,fbnetv3_g,deit_base_patch16_224,vit_small_r26_s32_224,twins_svt_small,halonet50ts,lamhalobotnet50ts_256,tnt_s_patch16_224,wide_resnet50_2,jx_nest_tiny,convmixer_1536_20,seresnext50_32x4d,sebotnet33ts_256,lambda_resnet50ts,resnext50_32x4d,haloregnetz_b,resmlp_big_24_224,sehalonet33ts,nf_resnet50,efficientnet_b2,mixnet_xl,resnetv2_50,resnet50,rexnet_150,seresnet50,regnetx_320,dpn107,gmlp_s16_224,hrnet_w64,dla102x2,ese_vovnet39b,resnetblur50,botnet26t_256,vit_small_patch16_224,poolformer_m48,swin_s3_tiny_224,halo2botnet50ts_256,resnetv2_101,resnetv2_50d_evos,resnet101,swin_tiny_patch4_window7_224,resnest50d,gcresnet50t,gcresnext50ts,eca_resnet33ts,cspdarknet53,cspresnext50,gluon_xception65,gluon_resnet101_v1c,cspresnet50,eca_halonext26ts,nf_regnet_b1,eca_botnext26ts_256,vit_base_patch32_224,resnet50_gn,deit_small_patch16_224,pit_s_224,xcit_tiny_12_p8_224,resmlp_24_224
nfnet_l0,4.604681666,2.819280326,2.81595266,2.619382866,3.597723066,2.702519596,2.952360795,2.351387408,2.41390145,3.050552989,3.137743486,2.992466266,2.267158423,2.483425596,2.679547908,2.882018045,2.770178566,2.652919206,2.712282096,2.477453413,2.731825593,2.616935412,2.876166562,2.866753325,2.682670775,3.158315353,2.634088283,2.959943166,2.922573768,2.85735679,2.832405128,2.690628157,2.827225211,3.083347021,2.758868672,3.01771118,2.734681552,2.19608985,2.905412255,3.145708671,2.974946459,2.820450245,2.883512031,2.252032814,3.067608458,2.623337382,2.823430068,2.596834601,2.817294217,2.56602943,2.680100784,2.822113101,2.961692121,2.948755347,3.123704561,2.768774187,2.610046826,2.60069302,2.910809564,2.548236792,2.923625293,2.730248089,2.956631191,1.877763687,2.633428342,2.247239248,2.576189342,2.827998108,2.515168884
regnety_032,2.819280326,4.602005241,2.429960461,2.610341528,2.813155517,2.437404316,2.557413468,2.247892178,2.336324125,2.714362406,2.717618945,2.908923159,2.201819859,2.432328341,2.386215224,2.597653819,2.484841981,2.567091049,2.562909767,2.2622866,2.455305079,2.565166129,2.587036145,2.597428717,2.492112034,3.236949373,2.285320735,2.704930074,2.656102139,2.893696055,2.923411612,2.534743515,2.666061475,2.90596656,2.711415029,2.977192528,2.726781238,2.134249778,2.790818394,3.108415032,2.793869562,2.687933059,2.641313394,2.166972534,2.66763891,2.261369035,2.515119152,2.475659217,2.554101155,2.45414694,2.312093067,2.570606354,2.77703194,2.688610108,2.923259277,2.505743994,2.519225825,2.50723873,2.647812299,2.449548301,2.670754416,2.705212313,2.698619072,1.843248925,2.559526024,2.187477513,2.484733878,2.699620225,2.366320329
twins_pcpvt_base,2.81595266,2.429960461,4.598132176,2.555146227,2.859687631,2.661944602,3.39169854,2.52268141,2.571837703,3.123376207,3.268018885,2.773388828,2.438307714,2.525489302,3.628159137,2.589410996,2.515048405,2.671644393,2.434038752,2.841347603,2.417537089,2.312056558,2.660800079,2.546003944,2.445857082,2.892704021,2.676064999,2.669331136,2.570260516,2.723905573,2.717480189,2.435792599,2.556672021,2.800155162,2.431615353,2.730108341,2.516511989,2.122085267,2.723905573,2.913233657,2.631875633,2.595368216,2.584990108,2.301029883,3.058709452,3.250054307,2.518243773,2.374977016,2.45677281,2.273433022,3.245463035,2.45974727,2.575762808,2.552315077,2.765400721,2.476783615,2.333317345,2.40080319,2.635796379,2.347428683,2.609226005,2.505872881,2.683529485,1.944453267,2.360308025,2.34501493,2.596885238,2.687096886,2.51043702
xcit_medium_24_p16_224,2.619382866,2.610341528,2.555146227,4.60153866,2.638800952,2.701989835,2.625763461,2.393722805,2.536199256,2.798747692,2.727239187,2.655623186,2.372387654,2.277829165,2.637863258,2.503779639,2.384100053,2.707260904,2.309750312,2.292995801,2.334470385,2.274266473,2.438764296,2.470654214,2.32325173,2.926113447,2.391242948,2.481988339,2.36901125,2.573621839,2.493753401,2.236912439,2.438411287,2.576031349,2.332392028,2.690797069,2.373411145,2.025949973,2.543275251,2.803946924,2.508123495,2.37508982,2.478364901,2.180796385,2.746430192,2.447215379,2.381895686,2.216111495,2.338348802,2.178532444,2.4363425,2.34649828,2.437976498,2.446121117,2.647089274,2.326518816,2.279159887,2.261744692,2.548540882,2.211524588,2.590069361,2.401367962,2.6131175,1.838065222,2.186110102,2.20753618,2.607543855,2.760176482,2.378667399
eca_nfnet_l0,3.597723066,2.813155517,2.859687631,2.638800952,4.603951417,2.698624735,3.031844522,2.382235259,2.441318966,3.030586215,3.217296098,2.994342398,2.357536425,2.457400692,2.722064324,2.859180937,2.774509652,2.632085055,2.786233402,2.5316193,2.712664411,2.653336002,2.913788455,2.849852512,2.662989225,3.143700553,2.703902969,2.987390202,2.981108471,2.864980434,2.817288193,2.682537722,2.82494487,3.106754153,2.742325697,3.102655289,2.703483181,2.148390794,2.975995227,3.212067734,2.995470185,2.823054998,2.905591078,2.254703607,3.120962872,2.69028683,2.863528217,2.595045005,2.829867761,2.544184484,2.714819431,2.905488968,2.976158953,2.985859499,3.12882861,2.812396687,2.679174615,2.652463197,2.9831996,2.620439771,2.914244194,2.70539768,2.940981615,1.991692342,2.627587079,2.26805311,2.609286085,2.857280775,2.523632208
pit_b_224,2.702519596,2.437404316,2.661944602,2.701989835,2.698624735,4.603707128,2.699630184,2.6382175,2.676315306,2.97255314,2.731262493,2.767002447,2.694350618,2.39267962,2.688202417,2.663845048,2.590700713,2.821845332,2.384948865,2.514748142,2.375376312,2.381649063,2.69318329,2.664440054,2.43637626,2.796946213,2.697239285,2.691769537,2.531028073,2.664841447,2.608723251,2.42600391,2.542014386,2.674184718,2.37506411,2.638572824,2.408604848,2.217222639,2.596153232,2.784825894,2.648536073,2.553106185,2.675319353,2.401922283,2.830371002,2.668420406,2.686185717,2.325345314,2.488209278,2.323429772,2.705027093,2.450879405,2.563883167,2.599012245,2.717666689,2.430201123,2.422487542,2.434735797,2.651487572,2.347721227,2.751676208,2.486024593,2.779076193,2.002411881,2.347987563,2.520423085,3.029849635,2.729983013,2.592895288
coat_lite_small,2.952360795,2.557413468,3.39169854,2.625763461,3.031844522,2.699630184,4.602496713,2.406163304,2.549547817,3.133046973,3.499171221,2.864715137,2.377234679,2.466549824,3.246657829,2.671490709,2.631034963,2.669200284,2.49316779,2.771497825,2.495922516,2.388073534,2.682387625,2.640910899,2.462650668,2.956049204,2.69494863,2.73121726,2.658338802,2.782334013,2.75124909,2.461328714,2.57841884,2.861310409,2.503137718,2.78889387,2.527305517,2.142753821,2.731195169,2.957294135,2.69391569,2.599724271,2.651046983,2.222390504,3.06192794,3.119583204,2.66157515,2.398664799,2.521570634,2.361023097,3.172993799,2.525986144,2.657671772,2.668829488,2.83840367,2.568591932,2.451461068,2.41183911,2.727316441,2.433432187,2.711374498,2.527327366,2.739474201,1.853329096,2.391825739,2.274227555,2.633311785,2.742126807,2.443849871
convit_base,2.351387408,2.247892178,2.52268141,2.393722805,2.382235259,2.6382175,2.406163304,4.604444057,3.836380219,2.690672532,2.46658679,2.531147603,3.90761693,2.454431665,2.630877909,2.398224774,2.264610219,3.197652348,2.199791408,2.396074502,2.297956646,2.194555728,2.393118962,2.428448633,2.288031822,2.629547139,2.490894691,2.434161451,2.330595223,2.580543902,2.542466514,2.314985149,2.376379894,2.466786108,2.223432442,2.468677427,2.346649598,3.218355398,2.52599156,2.566634143,2.443227422,2.435854397,2.507840035,3.49784806,2.426299361,2.591346086,2.339953743,2.245547459,2.305690686,2.086653495,2.668349263,2.241043534,2.276983218,2.28789823,2.500035815,2.280621925,2.226195614,2.262572247,2.449970492,2.221858368,2.542675993,2.314764221,2.578536913,2.371924765,2.235434922,3.824729262,2.919800568,2.451077254,3.571668899
crossvit_base_240,2.41390145,2.336324125,2.571837703,2.536199256,2.441318966,2.676315306,2.549547817,3.836380219,4.602451473,2.758407433,2.541979484,2.464972114,3.805967009,2.543153886,2.702680745,2.483300614,2.432132936,3.157154037,2.30032988,2.524167637,2.295269715,2.24919672,2.517729325,2.475028166,2.336844536,2.663780789,2.665882906,2.490492929,2.431308993,2.689100315,2.578545248,2.426930193,2.429100476,2.480131949,2.305922363,2.508694071,2.417150696,3.232231709,2.595405526,2.664067298,2.550227642,2.474767819,2.633624562,3.443112813,2.500318929,2.754988423,2.417980429,2.313398793,2.359932108,2.194445086,2.743677379,2.33609635,2.362210358,2.3597727,2.551540013,2.345032812,2.328131573,2.336243891,2.463477623,2.276356741,2.646644505,2.424461753,2.665915183,2.511484141,2.369997769,3.801379612,2.870482883,2.559859872,3.526236645
visformer_small,3.050552989,2.714362406,3.123376207,2.798747692,3.030586215,2.97255314,3.133046973,2.690672532,2.758407433,4.603961021,3.156799206,2.948337342,2.751317756,2.723352524,3.105730511,2.895773736,2.802467732,3.000584365,2.655842531,2.646318922,2.758616894,2.621546224,2.925393628,2.902702332,2.749134225,3.195423665,2.823416889,2.970084725,2.855858682,2.979016392,2.993291912,2.792949146,2.851910755,2.944618073,2.650997959,2.940393782,2.7779288,2.360445788,2.967365501,3.181519621,2.911954256,2.924543845,2.943791038,2.458257138,3.120724013,2.965524736,2.841003912,2.646356632,2.751557316,2.563336486,3.016346313,2.750873787,2.792656135,2.763840217,2.975001269,2.663883834,2.614814173,2.629732139,2.814484917,2.562663922,2.936437603,2.667957765,2.988074033,2.160468669,2.645572011,2.618454323,2.881627492,2.963074125,2.785575918
